points, hull, time
100, 4, 5
200, 4, 2
300, 4, 1
400, 4, 1
500, 4, 2
600, 4, 1
700, 4, 1
800, 4, 2
900, 4, 1
1000, 4, 4
1100, 4, 1
1200, 4, 2
1300, 4, 3
1400, 4, 1
1500, 4, 2
1600, 4, 2
1700, 4, 2
1800, 4, 2
1900, 4, 1
2000, 4, 1
2100, 4, 2
2200, 4, 2
2300, 4, 2
2400, 4, 2
2500, 4, 3
2600, 4, 2
2700, 4, 4
2800, 4, 5
2900, 4, 3
3000, 4, 3
3100, 4, 3
3200, 4, 2
3300, 4, 2
3400, 4, 3
3500, 4, 3
3600, 4, 3
3700, 4, 1
3800, 4, 1
3900, 4, 1
4000, 4, 2
4100, 4, 1
4200, 4, 1
4300, 4, 3
4400, 4, 2
4500, 4, 2
4600, 4, 1
4700, 4, 1
4800, 4, 1
4900, 4, 1
5000, 4, 2
5100, 4, 1
5200, 4, 2
5300, 4, 2
5400, 4, 2
5500, 4, 1
5600, 4, 2
5700, 4, 1
5800, 4, 1
5900, 4, 2
6000, 4, 2
6100, 4, 1
6200, 4, 1
6300, 4, 2
6400, 4, 2
6500, 4, 2
6600, 4, 2
6700, 4, 4
6800, 4, 1
6900, 4, 1
7000, 4, 1
7100, 4, 1
7200, 4, 1
7300, 4, 1
7400, 4, 1
7500, 4, 1
7600, 4, 1
7700, 4, 2
7800, 4, 1
7900, 4, 2
8000, 4, 2
8100, 4, 3
8200, 4, 1
8300, 4, 1
8400, 4, 1
8500, 4, 1
8600, 4, 2
8700, 4, 2
8800, 4, 2
8900, 4, 2
9000, 4, 5
9100, 4, 1
9200, 4, 1
9300, 4, 1
9400, 4, 1
9500, 4, 2
9600, 4, 1
9700, 4, 1
9800, 4, 2
9900, 4, 2
10000, 4, 2
10100, 4, 2
10200, 4, 2
10300, 4, 2
10400, 4, 2
10500, 4, 2
10600, 4, 2
10700, 4, 2
10800, 4, 2
10900, 4, 2
11000, 4, 4
11100, 4, 4
11200, 4, 4
11300, 4, 3
11400, 4, 4
11500, 4, 4
11600, 4, 5
11700, 4, 2
11800, 4, 2
11900, 4, 2
12000, 4, 2
12100, 4, 2
12200, 4, 2
12300, 4, 3
12400, 4, 3
12500, 4, 4
12600, 4, 3
12700, 4, 3
12800, 4, 3
12900, 4, 3
13000, 4, 3
13100, 4, 4
13200, 4, 4
13300, 4, 4
13400, 4, 3
13500, 4, 3
13600, 4, 3
13700, 4, 7
13800, 4, 7
13900, 4, 6
14000, 4, 5
14100, 4, 9
14200, 4, 6
14300, 4, 5
14400, 4, 4
14500, 4, 4
14600, 4, 4
14700, 4, 6
14800, 4, 6
14900, 4, 6
15000, 4, 3
15100, 4, 3
15200, 4, 3
15300, 4, 3
15400, 4, 3
15500, 4, 3
15600, 4, 3
15700, 4, 3
15800, 4, 4
15900, 4, 4
16000, 4, 3
16100, 4, 4
16200, 4, 3
16300, 4, 3
16400, 4, 3
16500, 4, 3
16600, 4, 5
16700, 4, 5
16800, 4, 4
16900, 4, 3
17000, 4, 5
17100, 4, 4
17200, 4, 6
17300, 4, 6
17400, 4, 5
17500, 4, 5
17600, 4, 4
17700, 4, 3
17800, 4, 3
17900, 4, 3
18000, 4, 3
18100, 4, 3
18200, 4, 4
18300, 4, 4
18400, 4, 3
18500, 4, 4
18600, 4, 5
18700, 4, 5
18800, 4, 4
18900, 4, 7
19000, 4, 4
19100, 4, 4
19200, 4, 4
19300, 4, 4
19400, 4, 4
19500, 4, 4
19600, 4, 4
19700, 4, 4
19800, 4, 4
19900, 4, 5
20000, 4, 5
20100, 4, 5
20200, 4, 4
20300, 4, 4
20400, 4, 5
20500, 4, 5
20600, 4, 4
20700, 4, 4
20800, 4, 4
20900, 4, 4
21000, 4, 4
21100, 4, 6
21200, 4, 5
21300, 4, 4
21400, 4, 4
21500, 4, 4
21600, 4, 4
21700, 4, 4
21800, 4, 4
21900, 4, 4
22000, 4, 5
22100, 4, 6
22200, 4, 4
22300, 4, 4
22400, 4, 4
22500, 4, 5
22600, 4, 4
22700, 4, 5
22800, 4, 5
22900, 4, 5
23000, 4, 6
23100, 4, 4
23200, 4, 4
23300, 4, 5
23400, 4, 5
23500, 4, 4
23600, 4, 4
23700, 4, 4
23800, 4, 4
23900, 4, 4
24000, 4, 4
24100, 4, 4
24200, 4, 4
24300, 4, 4
24400, 4, 4
24500, 4, 4
24600, 4, 4
24700, 4, 16
24800, 4, 10
24900, 4, 10
25000, 4, 8
25100, 4, 7
25200, 4, 7
25300, 4, 5
25400, 4, 6
25500, 4, 6
25600, 4, 5
25700, 4, 6
25800, 4, 7
25900, 4, 8
26000, 4, 7
26100, 4, 5
26200, 4, 6
26300, 4, 6
26400, 4, 5
26500, 4, 5
26600, 4, 7
26700, 4, 5
26800, 4, 5
26900, 4, 6
27000, 4, 6
27100, 4, 7
27200, 4, 5
27300, 4, 6
27400, 4, 5
27500, 4, 6
27600, 4, 5
27700, 4, 5
27800, 4, 5
27900, 4, 9
28000, 4, 6
