points, hull, time
100, 13, 5
200, 13, 1
300, 18, 2
400, 16, 2
500, 15, 1
600, 15, 3
700, 19, 3
800, 19, 2
900, 15, 3
1000, 20, 3
1100, 19, 2
1200, 21, 2
1300, 20, 3
1400, 18, 1
1500, 18, 3
1600, 23, 1
1700, 18, 2
1800, 20, 2
1900, 19, 3
2000, 19, 2
2100, 17, 2
2200, 19, 2
2300, 18, 3
2400, 20, 2
2500, 18, 2
2600, 19, 2
2700, 22, 4
2800, 22, 4
2900, 23, 2
3000, 22, 3
3100, 19, 3
3200, 22, 2
3300, 25, 3
3400, 24, 2
3500, 22, 3
3600, 21, 2
3700, 18, 1
3800, 25, 4
3900, 22, 4
4000, 19, 2
4100, 20, 3
4200, 17, 2
4300, 22, 3
4400, 22, 2
4500, 16, 2
4600, 24, 1
4700, 20, 1
4800, 22, 1
4900, 19, 1
5000, 22, 2
5100, 25, 1
5200, 16, 1
5300, 23, 1
5400, 22, 1
5500, 26, 2
5600, 19, 2
5700, 27, 1
5800, 15, 2
5900, 24, 2
6000, 31, 2
6100, 22, 2
6200, 22, 2
6300, 26, 2
6400, 22, 1
6500, 23, 2
6600, 20, 2
6700, 27, 5
6800, 19, 2
6900, 26, 3
7000, 25, 2
7100, 20, 2
7200, 23, 2
7300, 24, 4
7400, 29, 3
7500, 25, 2
7600, 20, 2
7700, 23, 3
7800, 24, 3
7900, 22, 3
8000, 21, 2
8100, 27, 2
8200, 25, 2
8300, 18, 2
8400, 22, 2
8500, 25, 2
8600, 22, 2
8700, 23, 3
8800, 32, 3
8900, 19, 2
9000, 21, 2
9100, 30, 2
9200, 25, 4
9300, 23, 2
9400, 20, 2
9500, 17, 2
9600, 22, 2
9700, 23, 2
9800, 19, 2
9900, 26, 2
10000, 23, 2
10100, 30, 2
10200, 27, 2
10300, 30, 2
10400, 25, 3
10500, 23, 2
10600, 30, 3
10700, 17, 2
10800, 23, 2
10900, 29, 2
11000, 29, 3
11100, 23, 3
11200, 22, 3
11300, 23, 3
11400, 27, 4
11500, 19, 5
11600, 36, 4
11700, 15, 3
11800, 24, 2
11900, 27, 2
12000, 25, 2
12100, 24, 2
12200, 26, 2
12300, 26, 2
12400, 27, 3
12500, 24, 2
12600, 21, 2
12700, 31, 3
12800, 20, 3
12900, 28, 2
13000, 25, 2
13100, 25, 2
13200, 22, 3
13300, 33, 3
13400, 29, 3
13500, 25, 3
13600, 31, 5
13700, 27, 3
13800, 29, 3
13900, 27, 5
14000, 22, 4
14100, 28, 4
14200, 25, 5
14300, 24, 7
14400, 22, 4
14500, 29, 4
14600, 20, 4
14700, 27, 6
14800, 19, 6
14900, 24, 7
15000, 28, 6
15100, 23, 5
15200, 21, 3
15300, 31, 3
15400, 27, 4
15500, 29, 3
15600, 22, 5
15700, 28, 4
15800, 26, 3
15900, 25, 3
16000, 23, 4
16100, 29, 5
16200, 22, 3
16300, 26, 3
16400, 24, 4
16500, 23, 4
16600, 20, 5
16700, 26, 4
16800, 27, 6
16900, 25, 6
17000, 23, 3
17100, 26, 4
17200, 27, 5
17300, 23, 6
17400, 24, 4
