points, hull, time
1000, 1000, 32
2000, 2000, 32
3000, 3000, 35
4000, 4000, 62
5000, 5000, 102
6000, 6000, 174
7000, 7000, 243
8000, 8000, 298
9000, 9000, 375
10000, 10000, 460
11000, 11000, 610
12000, 12000, 774
13000, 13000, 545
14000, 13992, 1023
15000, 14832, 1190
16000, 15336, 1294
17000, 15825, 1316
18000, 16275, 2045
19000, 16469, 2386
20000, 16372, 1795
21000, 16748, 1697
22000, 16816, 1457
23000, 16834, 1460
24000, 17121, 1473
25000, 17166, 1555
26000, 17597, 1619
27000, 17667, 1678
28000, 17723, 1655
29000, 17926, 1725
30000, 17917, 1783
31000, 18343, 1828
32000, 18522, 1847
33000, 18589, 1874
34000, 18846, 1921
35000, 19098, 1964
36000, 18944, 2025
37000, 19303, 2060
38000, 19362, 2291
39000, 19392, 2109
40000, 19749, 2168
41000, 19736, 2313
42000, 19890, 1465
43000, 20082, 2304
44000, 19945, 2346
45000, 19966, 2270
46000, 20192, 2272
47000, 20594, 2513
48000, 20507, 2766
49000, 20532, 1894
50000, 20606, 4014
51000, 20704, 4062
52000, 21087, 3916
53000, 20887, 4508
54000, 21491, 5010
55000, 21148, 3217
56000, 21245, 4444
57000, 21134, 4088
58000, 21535, 4622
59000, 21577, 4249
60000, 21508, 4386
61000, 21413, 4228
62000, 21635, 4663
63000, 22153, 4580
64000, 22477, 3293
65000, 22427, 3450
66000, 22373, 3162
67000, 22415, 3408
68000, 22487, 3613
69000, 22425, 3374
70000, 22864, 2324
71000, 23049, 4026
72000, 22919, 3585
73000, 23202, 3764
74000, 22939, 3741
75000, 23062, 3606
76000, 23183, 3901
77000, 22941, 3832
78000, 23447, 4074
79000, 23426, 3710
80000, 23580, 4361
81000, 23330, 4110
82000, 23699, 4257
83000, 23652, 4123
84000, 23790, 4552
85000, 24020, 4465
86000, 24110, 3870
87000, 23747, 4895
88000, 24013, 4834
89000, 24031, 4909
90000, 23842, 3687
91000, 24150, 4970
92000, 24175, 5062
93000, 24376, 4981
94000, 24651, 5247
95000, 24161, 4791
96000, 24481, 5310
97000, 24670, 4333
98000, 24719, 5880
99000, 24736, 5200
